node_id,max_queue_vehicles
cluster,16.0
277434352,16.0
300216374,11.0
277435460,9.0
314643627,8.0
314643681,7.0
10594234677,6.0
277439021,6.0
247681990,5.0
315262038,4.0
5328855183,2.0
277439414,1.0
247074857,1.0
277438924,1.0
30038738,1.0
2001005468,0.0
